idx,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,1.0,0.01,0.5,3.6015958025694994,0.9829934653687309,0.17510358080302063,1.0,0.9040399805281669,0.09596001947183298,1.0,0.5828000000000001,208.6,2.0,0.1410203456878662
1,1.0,0.01,1.0,4.839359229290011,0.9770633733430818,0.15334851646476333,1.0,0.9169484459484535,0.08305155405154654,1.0,0.5176000000000001,241.2,2.0,0.12986207008361816
2,1.0,0.01,2.0,9.211932047943415,0.9562287890524679,0.11510805760777429,0.9800000000000001,0.9388505244001187,0.06114947559988115,0.9800000000000001,0.3576,321.2,2.0,0.13503189086914064
3,1.0,0.1,0.5,2.500253619189388,0.9880620242830374,0.42201384050123547,1.0,0.7319564223437969,0.26804357765620324,1.0,0.8492,75.4,2.0,0.048359251022338866
4,1.0,0.1,1.0,3.157098268667071,0.9850754235772964,0.22572664241279106,1.0,0.8726553331135675,0.12734466688643248,1.0,0.6832,158.4,2.0,0.13087940216064453
5,1.0,0.1,2.0,9.500194844189528,0.9548496971112357,0.12856441161525559,0.9800000000000001,0.9311931346527164,0.06880686534728367,0.9800000000000001,0.42799999999999994,286.0,2.0,0.1534414291381836
6,1.0,0.5,0.5,2.343392690051052,0.9887906352243088,0.8473551569203744,1.0,0.2611538461538462,0.7388461538461538,1.0,0.9452,27.4,2.0,0.019601774215698243
7,1.0,0.5,1.0,2.5101680450989257,0.9879999649782143,0.4679956036974092,1.0,0.6925204017113774,0.30747959828862254,1.0,0.866,67.0,2.0,0.060561323165893556
8,1.0,0.5,2.0,9.526113621011291,0.955449302276277,0.13957966659198212,0.97,0.9247785351691553,0.07522146483084487,0.97,0.48040000000000005,259.8,2.0,0.1438535213470459
9,1.0,1.0,0.5,2.418202527136861,0.9884483726040919,0.9443873955501862,1.0,0.10368906455862978,0.8963109354413703,1.0,0.9551999999999999,22.4,2.0,0.016163158416748046
10,1.0,1.0,1.0,2.42429520594421,0.9884010596039747,0.7297419015440351,1.0,0.4179810273116561,0.5820189726883439,1.0,0.9283999999999999,35.8,2.0,0.027280616760253906
11,1.0,1.0,2.0,8.49778938142896,0.9605637261373499,0.14939541759767977,0.99,0.9191591849721099,0.08084081502788999,0.99,0.506,247.0,2.0,0.15394883155822753
12,10.0,0.01,0.5,3.664059831727923,0.9826965814433019,0.1751783418429079,1.0,0.9039997432669307,0.09600025673306938,1.0,0.5832,208.4,2.0,0.14506330490112304
13,10.0,0.01,1.0,5.148424589396127,0.9758453746377069,0.15614857173622115,1.0,0.9153128742519566,0.08468712574804341,1.0,0.5276,236.2,2.0,0.1521268367767334
14,10.0,0.01,2.0,9.446959046958625,0.9550739729566095,0.11814377071058361,0.96,0.9370465334276552,0.06295346657234466,0.96,0.38760000000000006,306.2,2.0,0.13797378540039062
15,10.0,0.1,0.5,2.504866831349437,0.9880414831533676,0.41607769296556485,1.0,0.7370813480202802,0.2629186519797198,1.0,0.8472,76.4,2.0,0.04823412895202637
16,10.0,0.1,1.0,3.1785656897857644,0.985003516134045,0.2291758378512065,1.0,0.8704892541703853,0.1295107458296149,1.0,0.6891999999999999,155.4,2.0,0.1178560733795166
17,10.0,0.1,2.0,9.397006011873529,0.9548847270556553,0.12952882086823356,0.96,0.9305271574916034,0.0694728425083965,0.96,0.44480000000000003,277.6,2.0,0.12726616859436035
18,10.0,0.5,0.5,2.344844733907243,0.9887834572403562,0.8512198912198912,1.0,0.255,0.7449999999999999,1.0,0.9456,27.2,2.0,0.015575551986694336
19,10.0,0.5,1.0,2.5194618184899977,0.9879811936172279,0.5025744662617997,1.0,0.6590193175795458,0.3409806824204543,1.0,0.8764,61.8,2.0,0.05653119087219238
20,10.0,0.5,2.0,7.485442411916745,0.9648597161906656,0.14769864314530406,1.0,0.9202100574913856,0.07978994250861425,1.0,0.4944,252.8,2.0,0.1689516544342041
21,10.0,1.0,0.5,2.408886946264167,0.9884896915923699,0.9486157253599113,1.0,0.09644268774703557,0.9035573122529644,1.0,0.9555999999999999,22.2,2.0,0.01692342758178711
22,10.0,1.0,1.0,2.4492129176611654,0.9882891677168681,0.7231462663956945,1.0,0.4267630267630268,0.5732369732369733,1.0,0.9279999999999999,36.0,2.0,0.028182172775268556
23,10.0,1.0,2.0,6.299997489898265,0.9709384953033263,0.15959249700584335,1.0,0.9132002410917786,0.08679975890822142,1.0,0.5336000000000001,233.2,2.0,0.1649857997894287
24,50.0,0.01,0.5,3.6922620395411023,0.9825907658672588,0.1774583993812689,1.0,0.9026223227053232,0.09737767729467686,1.0,0.5888,205.6,2.0,0.1617110252380371
25,50.0,0.01,1.0,5.500995180444187,0.9734740110733023,0.15890343524696035,1.0,0.9136635548345678,0.0863364451654322,1.0,0.5348,232.6,2.0,0.1636112689971924
26,50.0,0.01,2.0,9.389266591387265,0.9554866400253721,0.12005808712199635,0.97,0.9359824946974094,0.06401750530259054,0.97,0.39080000000000004,304.6,2.0,0.17239131927490234
27,50.0,0.1,0.5,2.530083165940718,0.9879099178613963,0.4105868663353295,1.0,0.7411768760409047,0.2588231239590953,1.0,0.8440000000000001,78.0,2.0,0.06765189170837402
28,50.0,0.1,1.0,3.109832635154046,0.9851762204918799,0.23205908020225693,1.0,0.8683421022213235,0.1316578977786766,1.0,0.6876,156.2,2.0,0.1486438751220703
29,50.0,0.1,2.0,9.070831851114075,0.9574867004937181,0.13422939604209344,1.0,0.9279946018692753,0.07200539813072468,1.0,0.4368,281.6,2.0,0.13236894607543945
30,50.0,0.5,0.5,2.358232058485233,0.9887156300561852,0.8496627845379002,1.0,0.2591595441595442,0.7408404558404558,1.0,0.9456,27.2,2.0,0.014850711822509766
31,50.0,0.5,1.0,2.546991311837062,0.9878028489503125,0.47913653061236017,1.0,0.673549124554296,0.32645087544570395,1.0,0.8548,72.6,2.0,0.053715753555297854
32,50.0,0.5,2.0,8.031956684902482,0.9618054856872164,0.15043334495916466,1.0,0.9185326443869654,0.08146735561303473,1.0,0.49800000000000005,251.0,2.0,0.13708271980285644
33,50.0,1.0,0.5,2.4143406093401945,0.9884665257606768,0.9447766703580657,1.0,0.1024505928853755,0.8975494071146246,1.0,0.9551999999999999,22.4,2.0,0.015106582641601562
34,50.0,1.0,1.0,2.4498972480386225,0.988266743336254,0.6819774718397997,1.0,0.45688552785326986,0.5431144721467301,1.0,0.9136,43.2,2.0,0.03245534896850586
35,50.0,1.0,2.0,6.677480154415376,0.9673081669451026,0.16206845378747153,0.99,0.9114789713849987,0.08852102861500125,0.99,0.534,233.0,2.0,0.14103264808654786
