sigma,snr,method,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,mse_mean,mse_std,n_selected_mean,lambda_ridge
0.5,884.7477099885966,fixed_ridge,0.9223665223665224,0.028613667089051473,1.0,0.0,0.143030303030303,0.04948773396178265,0.5202942018323521,0.1955544649370105,23.4,[10.]
0.5,884.7477099885966,ridgecv,0.9451941012916623,0.04597327171815635,1.0,0.0,0.10103896103896104,0.08256127428261513,0.5337259182537419,0.21069238272965868,22.4,[10.   0.1]
1.0,221.18692749714916,fixed_ridge,0.8721899299904416,0.051796081364895136,1.0,0.0,0.22378825475599667,0.07796567911145193,1.4519118322051547,0.3439688202212643,26.0,[10.]
1.0,221.18692749714916,ridgecv,0.8938086846999784,0.03243709161464946,1.0,0.0,0.1907593211941038,0.052661647189959894,1.4552120256234793,0.3387626505439714,24.8,[ 10. 100.]
2.0,55.29673187428729,fixed_ridge,0.5803420089106841,0.158336414152603,1.0,0.0,0.5780221576004958,0.1480852156608942,5.814167591449241,0.6340131216554699,54.6,[10.]
2.0,55.29673187428729,ridgecv,0.6061147604162059,0.17224875920527344,1.0,0.0,0.5477354187031607,0.176711811351694,5.663229101532732,0.6700153445713067,51.0,[100.]
5.0,8.847477099885968,fixed_ridge,0.3419155308441616,0.09256147845843835,0.65,0.07071067811865475,0.7650163666121113,0.07449825826100881,33.11758644416721,3.396789684286635,60.0,[10.]
5.0,8.847477099885968,ridgecv,0.34860884684321153,0.09260222928758177,0.67,0.07582875444051551,0.7611389563194474,0.07522187372849104,32.88548687113496,3.469807666180359,60.6,[100.]
10.0,2.211869274971492,fixed_ridge,0.2143329861463163,0.0535160973314412,0.29,0.022360679774997894,0.823634336677815,0.06033400532777907,114.59770918678274,17.923705125467354,37.4,[10.]
10.0,2.211869274971492,ridgecv,0.21020361473347063,0.06835051385580294,0.28,0.0273861278752583,0.8207838660578387,0.08507183631491258,115.39627966062906,17.412730681041932,38.0,[100.]
