sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,cv_score,best_lambda_ridge
0.5,2.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.6964047848386379,0.9928469395091309,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,7.486015796661377,2.0,0.007880462815669913,-0.31522705444964233,
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.30271208067013017,0.9968907194903148,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,3.5765089988708496,1.0,0.021423888021814736,-0.7286578800767771,10.0
0.5,2.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.46623754043933047,0.9941085747826793,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,8.537209033966064,2.0,0.005298316906283712,-0.3273318858465767,
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3511504177798913,0.9955628274281995,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,3.719031810760498,1.0,0.026046804654152586,-0.5569561573052948,0.1
0.5,2.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.7279275503838782,0.974379869535789,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,7.434758901596069,2.0,0.007880462815669913,-0.3381685561197283,
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3200329752248968,0.9952548435400026,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,0,3.945409059524536,0.3,0.03944773596121792,-1.7170791017056726,1.0
0.5,2.0,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.3936737214996367,0.9952094660084478,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,7.686605215072632,2.0,0.007880462815669913,-0.3284931165135396,
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4164530708039992,0.9949322688241087,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,0,3.7544939517974854,0.5,0.03269551758031949,-0.4174315963140584,10.0
0.5,2.0,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.2435647933672243,0.9796687747877773,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,7.188244819641113,2.0,0.007880462815669913,-0.2652144553554361,
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.347321688421747,0.9943215862124309,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,3.659248113632202,1.0,0.012021136199829526,-1.1969411850156868,0.1
2.0,0.5,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.069509319305516,0.9399614186829944,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23,0,14.488432884216309,1.0,0.12689610031679233,-5.609556283296897,
2.0,0.5,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.867246032778435,0.9518540080662934,0.6923076923076923,0.9,0.4375,0.5625,0.9,0.9359999999999999,32,0,6.459496736526489,1.0,0.0738476826666326,-5.754147823412574,10.0
2.0,0.5,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,5.191184228123789,0.9372019139486625,0.6551724137931034,0.95,0.5,0.5,0.95,0.924,38,0,15.155718088150024,2.0,0.02592943797404667,-6.248869161326898,
2.0,0.5,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.878825467198553,0.9409805377627053,0.5970149253731344,1.0,0.574468085106383,0.425531914893617,1.0,0.906,47,0,6.370520114898682,0.3,0.16834282450412008,-6.1281679345703335,10.0
2.0,0.5,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,8.745228695263565,0.8784439651241536,0.6521739130434783,0.75,0.4230769230769231,0.5769230769230769,0.75,0.948,26,0,14.78485631942749,2.0,0.03856620421163472,-5.9925312509074224,
2.0,0.5,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.661422068714719,0.9213079448906473,0.6415094339622641,0.85,0.48484848484848486,0.5151515151515151,0.85,0.9339999999999999,33,0,6.825776100158691,1.0,0.08801612083952573,-6.70093045812047,10.0
2.0,0.5,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.7552214410883415,0.9264573963054454,0.8444444444444444,0.95,0.24,0.76,0.95,0.95,25,0,13.454710483551025,1.0,0.12689610031679233,-6.042905723204214,
2.0,0.5,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,6.263581497441007,0.9318097717755002,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0,6.194900035858154,0.3,0.17799587582058632,-5.508065064061391,10.0
2.0,0.5,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.075598206639858,0.9031570088337314,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,12.901367425918579,2.0,0.02592943797404667,-4.894389913591533,
2.0,0.5,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.3184367227142575,0.9152259081264973,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,5.729784250259399,1.0,0.06687761489875799,-5.291735425815643,10.0
10.0,0.1,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,105.91966423406112,0.43067601670409705,0.2916666666666667,0.35,0.75,0.25,0.35,0.944,28,0,35.66495108604431,0.5,1.3738237958832638,-123.75502030142904,
10.0,0.1,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,102.9580932595598,0.44659462252870274,0.30188679245283023,0.4,0.7575757575757576,0.24242424242424243,0.4,0.9339999999999999,33,0,12.74577260017395,0.3,0.8715464061516163,-122.55987750904117,10.0
10.0,0.1,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,124.3851582225844,0.2713306269175789,0.23529411764705882,0.2,0.7142857142857143,0.2857142857142857,0.2,0.972,14,0,33.629331827163696,0.5,2.043359717856944,-139.9757180121921,
10.0,0.1,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,114.14884227170703,0.3312967035233738,0.2173913043478261,0.25,0.8076923076923077,0.19230769230769232,0.25,0.948,26,0,11.673907995223999,0.3,0.9627181522764081,-133.4569256997125,10.0
10.0,0.1,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,105.59300561109482,0.33326173371184975,0.1764705882352941,0.15,0.7857142857142857,0.21428571428571427,0.15,0.972,14,0,34.09634876251221,0.5,2.043359717856944,-135.94817322418723,
10.0,0.1,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,100.80049186105057,0.3635227561192931,0.20512820512820512,0.2,0.7894736842105263,0.21052631578947367,0.2,0.962,19,0,12.278178215026855,0.3,1.0898060854588418,-128.28785924375262,10.0
10.0,0.1,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,157.77188410192142,0.3687412334479191,0.4117647058823529,0.35,0.5,0.5,0.35,0.972,14,0,32.51648569107056,0.5,2.043359717856944,-131.54493066732215,
10.0,0.1,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,149.62721178681605,0.40132876213765023,0.35,0.35,0.65,0.35,0.35,0.96,20,0,9.783899307250977,0.3,1.0293049553431566,-125.12165851204637,10.0
10.0,0.1,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,131.546093887012,0.14661004172178504,0.2222222222222222,0.15,0.5714285714285714,0.42857142857142855,0.15,0.986,7,0,31.177475690841675,2.0,3.039195382313201,-114.36604116237785,
10.0,0.1,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,121.05672081698754,0.21465862744628017,0.47058823529411764,0.4,0.42857142857142855,0.5714285714285714,0.4,0.972,14,0,14.636961698532104,0.3,1.0492225616554465,-106.02444581159321,10.0
