sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20
0.3,3.3333333333333335,0,1.0,1.0,0.5,0.8421744029065239,0.9913312295735158,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21
0.3,3.3333333333333335,1,1.0,1.0,0.5,0.5638211817181706,0.99286102219068,1.0,1.0,0.0,1.0,1.0,0.96,20
0.3,3.3333333333333335,2,1.0,1.0,0.5,1.5440630459564326,0.9769966641134765,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24
0.3,3.3333333333333335,3,1.0,1.0,0.5,0.5622380110941508,0.9930897950398329,1.0,1.0,0.0,1.0,1.0,0.96,20
0.3,3.3333333333333335,4,1.0,1.0,0.5,1.451133341933986,0.9763378510058939,1.0,1.0,0.0,1.0,1.0,0.96,20
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.5851091695129778,0.9837646595057221,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.0680312320275387,0.9865439239626601,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22
0.7,1.4285714285714286,2,1.0,1.0,0.5,2.4051497914900875,0.9645417890244228,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.3353012757298106,0.9839320643210593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.893855462358219,0.9689992988409525,1.0,1.0,0.0,1.0,1.0,0.96,20
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22
1.5,0.6666666666666666,0,1.0,1.0,0.5,4.284574923093129,0.9569044615875366,0.8636363636363635,0.95,0.20833333333333334,0.7916666666666666,0.95,0.952,24
1.5,0.6666666666666666,1,1.0,1.0,0.5,3.5741269280583547,0.9558933678966635,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26
1.5,0.6666666666666666,2,1.0,1.0,0.5,5.936727986394749,0.9152299680512104,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26
1.5,0.6666666666666666,3,1.0,1.0,0.5,4.499597769670555,0.9488265653843853,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24
1.5,0.6666666666666666,4,1.0,1.0,0.5,3.9945773484711324,0.9352229684668705,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25
2.0,0.5,0,1.0,1.0,0.5,6.683841527366697,0.9338845461898557,0.8095238095238095,0.85,0.22727272727272727,0.7727272727272727,0.85,0.956,22
2.0,0.5,1,1.0,1.0,0.5,6.08047572044378,0.9264440981584073,0.7826086956521738,0.9,0.3076923076923077,0.6923076923076923,0.9,0.948,26
2.0,0.5,2,1.0,1.0,0.5,8.699166419205344,0.8790842168351267,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23
2.0,0.5,3,1.0,1.0,0.5,7.317259672629041,0.9203386102250994,0.8444444444444444,0.95,0.24,0.76,0.95,0.95,25
2.0,0.5,4,1.0,1.0,0.5,6.655222885732814,0.8939179864744509,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25
3.0,0.3333333333333333,0,1.0,1.0,0.5,12.073411027177707,0.8858015801308623,0.7441860465116279,0.8,0.30434782608695654,0.6956521739130435,0.8,0.954,23
3.0,0.3333333333333333,1,1.0,1.0,0.5,12.935328773464407,0.8518169309761536,0.5384615384615384,0.7,0.5625,0.4375,0.7,0.9359999999999999,32
3.0,0.3333333333333333,2,1.0,1.0,0.5,14.8093281641979,0.8076648640160435,0.5833333333333334,0.7,0.5,0.5,0.7,0.944,28
3.0,0.3333333333333333,3,1.0,1.0,0.5,14.09593796246114,0.8615440753036974,0.723404255319149,0.85,0.37037037037037035,0.6296296296296297,0.85,0.946,27
3.0,0.3333333333333333,4,1.0,1.0,0.5,12.999574905695427,0.8045627042378172,0.7555555555555556,0.85,0.32,0.68,0.85,0.95,25
