,f1,f1,mse,mse,tpr,tpr,fdr,fdr,precision,precision,recall,recall,r2,r2
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sigma,,,,,,,,,,,,,,
0.1,0.9951,0.0109,0.8375,0.5119,1.0,0.0,0.0095,0.0213,0.9905,0.0213,1.0,0.0,0.9881,0.009
0.3,0.9769,0.0394,0.9927,0.4759,1.0,0.0,0.0429,0.0722,0.9571,0.0722,1.0,0.0,0.9861,0.0087
0.5,0.9721,0.0373,1.2779,0.5078,1.0,0.0,0.0524,0.0682,0.9476,0.0682,1.0,0.0,0.9824,0.0094
0.7,0.9579,0.0337,1.6575,0.5175,1.0,0.0,0.0792,0.0616,0.9208,0.0616,1.0,0.0,0.9776,0.01
1.0,0.9308,0.0259,2.4648,0.5807,1.0,0.0,0.1285,0.0446,0.8715,0.0446,1.0,0.0,0.9673,0.0116
1.5,0.8715,0.031,4.4579,0.8964,0.98,0.0274,0.215,0.0381,0.785,0.0381,0.98,0.0274,0.9424,0.0175
2.0,0.8232,0.0438,7.0872,1.0018,0.91,0.0652,0.2472,0.0404,0.7528,0.0404,0.91,0.0652,0.9107,0.0232
3.0,0.669,0.1006,13.3827,1.073,0.78,0.0758,0.4114,0.1142,0.5886,0.1142,0.78,0.0758,0.8423,0.0353
