sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,accuracy_mean,accuracy_std,auc_mean,auc_std
0.5,2.0,AdaptiveLassoCV (fixed),0.8916,0.0406,0.2275,0.0617,0.0,0.0,1.0,0.0,0.2275,0.0617,0.9909,0.0025,4.55,1.2344,0.9025,0.0372,0.9819,0.0183
0.5,2.0,LogisticRegressionCV,0.9932,0.0139,0.7275,0.1106,0.0758,0.1953,0.9242,0.1953,0.7275,0.1106,0.9655,0.0169,17.25,8.4285,0.9933,0.0137,0.9984,0.0061
0.5,2.0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",0.9937,0.0148,0.9525,0.1032,0.0809,0.1016,0.9191,0.1016,0.9525,0.1032,0.9578,0.008,21.1,4.0118,0.9942,0.0135,0.9985,0.0057
0.5,2.0,RelaxedLassoCV,0.9921,0.0143,0.985,0.0366,0.9405,0.0577,0.0595,0.0577,0.985,0.0366,0.1483,0.2391,425.85,119.5484,0.9925,0.0138,0.9983,0.0052
0.5,2.0,UnilassoCV,0.9923,0.012,0.73,0.1185,0.0,0.0,1.0,0.0,0.73,0.1185,0.9708,0.0047,14.6,2.3709,0.9925,0.0114,0.0,0.0
1.0,1.0,AdaptiveLassoCV (fixed),0.8768,0.0705,0.205,0.0647,0.0,0.0,1.0,0.0,0.205,0.0647,0.9918,0.0026,4.1,1.2937,0.8908,0.055,0.9769,0.0297
1.0,1.0,LogisticRegressionCV,0.991,0.0185,0.7075,0.1301,0.028,0.0899,0.972,0.0899,0.7075,0.1301,0.9701,0.0098,14.95,4.9148,0.9917,0.0167,0.9977,0.0087
1.0,1.0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",0.9919,0.0183,0.8925,0.1742,0.0313,0.0657,0.9687,0.0657,0.8925,0.1742,0.9628,0.0085,18.6,4.26,0.9925,0.0166,0.998,0.0078
1.0,1.0,RelaxedLassoCV,0.9837,0.0294,0.955,0.0945,0.9019,0.1534,0.0981,0.1534,0.955,0.0945,0.2466,0.3385,376.7,169.2628,0.985,0.0259,0.9969,0.0108
1.0,1.0,UnilassoCV,0.9892,0.0184,0.7,0.1076,0.0,0.0,1.0,0.0,0.7,0.1076,0.972,0.0043,14.0,2.1521,0.99,0.0166,0.0,0.0
2.0,0.5,AdaptiveLassoCV (fixed),0.8846,0.0733,0.2075,0.0568,0.0,0.0,1.0,0.0,0.2075,0.0568,0.9917,0.0023,4.15,1.1367,0.895,0.066,0.9797,0.0278
2.0,0.5,LogisticRegressionCV,0.9939,0.0117,0.76,0.1401,0.0917,0.1654,0.9083,0.1654,0.76,0.1401,0.964,0.0162,18.0,8.1176,0.9942,0.0112,0.9981,0.0062
2.0,0.5,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",0.993,0.0117,0.89,0.1691,0.0762,0.13,0.9238,0.13,0.89,0.1691,0.96,0.0125,20.0,6.2408,0.9933,0.0113,0.998,0.0061
2.0,0.5,RelaxedLassoCV,0.982,0.0219,0.965,0.0651,0.9243,0.0677,0.0757,0.0677,0.965,0.0651,0.2364,0.3296,381.8,164.8149,0.9825,0.0213,0.9979,0.0038
2.0,0.5,UnilassoCV,0.9879,0.0141,0.6925,0.1139,0.0,0.0,1.0,0.0,0.6925,0.1139,0.9723,0.0046,13.85,2.2775,0.9883,0.0134,0.0,0.0
3.0,0.33,AdaptiveLassoCV (fixed),0.8544,0.0707,0.1975,0.0595,0.0,0.0,1.0,0.0,0.1975,0.0595,0.9921,0.0024,3.95,1.191,0.8708,0.0535,0.9571,0.0405
3.0,0.33,LogisticRegressionCV,0.9832,0.019,0.7425,0.128,0.1542,0.2218,0.8458,0.2218,0.7425,0.128,0.9604,0.0218,19.8,10.8899,0.9833,0.0179,0.9971,0.005
3.0,0.33,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",0.9821,0.0227,0.815,0.185,0.0388,0.0639,0.9612,0.0639,0.815,0.185,0.9657,0.0091,17.15,4.5685,0.9817,0.0229,0.9964,0.0058
3.0,0.33,RelaxedLassoCV,0.9632,0.0302,0.955,0.093,0.9208,0.0835,0.0792,0.0835,0.955,0.093,0.2421,0.3212,378.95,160.6164,0.9633,0.0289,0.9931,0.0094
3.0,0.33,UnilassoCV,0.9772,0.0217,0.6775,0.0924,0.0,0.0,1.0,0.0,0.6775,0.0924,0.9729,0.0037,13.55,1.8489,0.9767,0.0212,0.0,0.0
