rank,feature,avg_freq,pfl_regressor_cv_freq,pfl_regressor_cv_count,adaptive_lasso_cv_freq,adaptive_lasso_cv_count,unilasso_cv_freq,unilasso_cv_count,lasso_cv_freq,lasso_cv_count,relaxed_lasso_1se_freq,relaxed_lasso_1se_count
1,2563,0.898,0.97,97,0.78,78,0.87,87,0.98,98,0.89,89
2,4002,0.7839999999999999,0.81,81,0.63,63,0.86,86,0.8,80,0.82,82
3,623,0.7539999999999999,0.8,80,0.64,64,0.74,74,0.8,80,0.79,79
4,1761,0.738,0.92,92,0.79,79,0.37,37,0.92,92,0.69,69
5,4003,0.5559999999999999,0.63,63,0.46,46,0.48,48,0.64,64,0.57,57
6,1638,0.554,0.44,44,0.43,43,0.59,59,0.68,68,0.63,63
7,2026,0.506,0.66,66,0.74,74,0.04,4,0.75,75,0.34,34
8,72,0.5040000000000001,0.55,55,0.7,70,0.03,3,0.75,75,0.49,49
9,1302,0.484,0.49,49,0.45,45,0.44,44,0.51,51,0.53,53
10,3513,0.476,0.53,53,0.33,33,0.55,55,0.45,45,0.52,52
11,1515,0.4600000000000001,0.21,21,0.18,18,0.86,86,0.37,37,0.68,68
12,1130,0.42800000000000005,0.37,37,0.75,75,0.0,0,0.75,75,0.27,27
13,2873,0.41,0.46,46,0.49,49,0.23,23,0.6,60,0.27,27
14,3310,0.394,0.33,33,0.43,43,0.25,25,0.59,59,0.37,37
15,3225,0.382,0.37,37,0.41,41,0.2,20,0.55,55,0.38,38
16,1826,0.366,0.31,31,0.52,52,0.1,10,0.54,54,0.36,36
17,1424,0.356,0.4,40,0.57,57,0.01,1,0.59,59,0.21,21
18,1523,0.326,0.48,48,0.36,36,0.13,13,0.4,40,0.26,26
19,1311,0.312,0.03,3,0.0,0,0.69,69,0.19,19,0.65,65
20,1296,0.306,0.17,17,0.12,12,0.54,54,0.25,25,0.45,45
21,2241,0.30399999999999994,0.36,36,0.48,48,0.01,1,0.47,47,0.2,20
22,1122,0.296,0.18,18,0.24,24,0.44,44,0.29,29,0.33,33
23,1281,0.272,0.43,43,0.18,18,0.2,20,0.26,26,0.29,29
24,4074,0.27,0.25,25,0.28,28,0.09,9,0.34,34,0.39,39
25,1278,0.256,0.25,25,0.19,19,0.25,25,0.25,25,0.34,34
26,973,0.23399999999999999,0.04,4,0.11,11,0.36,36,0.28,28,0.38,38
27,1635,0.22000000000000003,0.12,12,0.44,44,0.02,2,0.39,39,0.13,13
28,858,0.21800000000000003,0.18,18,0.36,36,0.01,1,0.43,43,0.11,11
29,1819,0.21600000000000003,0.2,20,0.11,11,0.22,22,0.2,20,0.35,35
30,1363,0.21200000000000002,0.09,9,0.32,32,0.04,4,0.43,43,0.18,18
31,1587,0.20600000000000002,0.19,19,0.12,12,0.36,36,0.13,13,0.23,23
32,2094,0.2,0.21,21,0.26,26,0.07,7,0.31,31,0.15,15
33,1277,0.196,0.01,1,0.0,0,0.53,53,0.14,14,0.3,30
34,1280,0.196,0.2,20,0.41,41,0.01,1,0.35,35,0.01,1
35,1809,0.192,0.14,14,0.4,40,0.02,2,0.35,35,0.05,5
36,1639,0.19,0.15,15,0.15,15,0.13,13,0.27,27,0.25,25
37,3104,0.19,0.1,10,0.3,30,0.0,0,0.41,41,0.14,14
38,1527,0.182,0.03,3,0.3,30,0.07,7,0.29,29,0.22,22
39,826,0.182,0.11,11,0.12,12,0.25,25,0.15,15,0.28,28
40,1959,0.18,0.09,9,0.22,22,0.13,13,0.26,26,0.2,20
41,3103,0.178,0.06,6,0.47,47,0.0,0,0.35,35,0.01,1
42,1209,0.174,0.11,11,0.34,34,0.02,2,0.32,32,0.08,8
43,1854,0.166,0.11,11,0.34,34,0.0,0,0.31,31,0.07,7
44,281,0.156,0.04,4,0.44,44,0.0,0,0.3,30,0.0,0
45,414,0.15,0.09,9,0.11,11,0.1,10,0.23,23,0.22,22
46,2935,0.138,0.05,5,0.39,39,0.0,0,0.22,22,0.03,3
47,314,0.138,0.06,6,0.09,9,0.1,10,0.17,17,0.27,27
48,2461,0.138,0.1,10,0.28,28,0.01,1,0.27,27,0.03,3
49,1995,0.138,0.0,0,0.01,1,0.34,34,0.11,11,0.23,23
50,2344,0.13799999999999998,0.03,3,0.3,30,0.0,0,0.34,34,0.02,2
