,,mse,mse,tpr,tpr,fdr,fdr,f1,f1,n_selected,n_selected,time,time
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,method,,,,,,,,,,,,
High SNR (σ=2.5),Full XLasso,326.035,45.738,0.03,0.061,0.062,0.131,0.051,0.096,2.0,4.32,31.327,15.519
High SNR (σ=2.5),Soft + Adaptive,335.829,26.852,0.012,0.017,0.05,0.158,0.023,0.032,0.8,1.317,31.318,15.38
High SNR (σ=2.5),Soft + Group,324.92,47.619,0.028,0.062,0.062,0.131,0.047,0.097,1.9,4.358,26.583,10.713
High SNR (σ=2.5),Soft Constraint,326.855,45.606,0.03,0.061,0.029,0.09,0.051,0.096,1.9,4.306,21.536,10.916
High SNR (σ=2.5),UniLasso,9.654,0.574,0.968,0.025,0.355,0.043,0.773,0.035,75.3,4.296,3.1,0.093
Low SNR (σ=0.5),Full XLasso,340.525,40.972,0.01,0.022,0.083,0.18,0.018,0.039,0.9,2.025,39.617,20.216
Low SNR (σ=0.5),Soft + Adaptive,338.265,39.837,0.01,0.022,0.083,0.18,0.018,0.039,0.9,2.025,35.705,17.117
Low SNR (σ=0.5),Soft + Group,339.684,39.036,0.006,0.013,0.033,0.105,0.011,0.026,0.4,0.966,31.633,14.891
Low SNR (σ=0.5),Soft Constraint,338.797,38.899,0.006,0.013,0.033,0.105,0.011,0.026,0.4,0.966,27.689,12.751
Low SNR (σ=0.5),UniLasso,1.461,0.435,0.996,0.008,0.303,0.02,0.82,0.014,71.5,2.121,3.141,0.143
Medium SNR (σ=1.0),Full XLasso,326.162,44.178,0.046,0.066,0.099,0.18,0.077,0.106,3.4,5.358,36.323,13.391
Medium SNR (σ=1.0),Soft + Adaptive,325.103,43.175,0.044,0.063,0.118,0.219,0.073,0.1,3.6,5.582,33.667,12.252
Medium SNR (σ=1.0),Soft + Group,327.189,45.815,0.042,0.064,0.118,0.219,0.069,0.102,3.5,5.642,28.665,10.529
Medium SNR (σ=1.0),Soft Constraint,326.358,44.749,0.032,0.044,0.218,0.317,0.057,0.078,2.3,2.983,24.839,9.269
Medium SNR (σ=1.0),UniLasso,2.501,0.265,0.998,0.006,0.313,0.03,0.813,0.022,72.8,2.936,3.097,0.085
